"country","age_group","cases","hospitalization","icu","mortality"
"Luxembourg","20-29",NA,0.030690537084399,0.0128205128205128,0.0040650406504065
"Luxembourg","30-39",NA,0.072463768115942,0.0576923076923077,0
"Luxembourg","40-49",NA,0.107416879795396,0.128205128205128,0.0203252032520325
"Luxembourg","50-59",NA,0.15771526001705,0.243589743589744,0.0284552845528455
"Luxembourg","60-69",NA,0.147485080988917,0.243589743589744,0.105691056910569
"Luxembourg","70-79",NA,0.175618073316283,0.205128205128205,0.17479674796748
"Luxembourg","80+",NA,0.283034953111679,0.102564102564103,0.666666666666667
"Netherlands","0-19",NA,0.00954640768127138,0.00148544266191325,0
"Netherlands","20-29",NA,0.0139057499172277,0.0106951871657754,0.000907166616268521
"Netherlands","30-39",NA,0.0338262884891292,0.0314913844325609,0.00332627759298458
"Netherlands","40-49",NA,0.0648383180664386,0.0671420083184789,0.0042334442092531
"Netherlands","50-59",NA,0.170290254938748,0.212715389185977,0.0257030541276081
"Netherlands","60-69",NA,0.223374903432292,0.337789661319073,0.0873903840338675
"Netherlands","70-79",NA,0.263988522238164,0.296791443850267,0.268521318415482
"Netherlands","80+",NA,0.220229555236729,0.0418894830659537,0.609918355004536
"Norway","0-19",NA,0.02602010644589,0.0726744186046512,0
"Norway","20-29",NA,0.0632761679479598,0.0436046511627907,0.01953125
"Norway","30-39",NA,0.116499112950917,0.0784883720930233,0
"Norway","40-49",NA,0.170313424009462,0.136627906976744,0.0390625
"Norway","50-59",NA,0.223536369012419,0.183139534883721,0.09765625
"Norway","60-69",NA,0.170313424009462,0.188953488372093,0.12890625
"Norway","70-79",NA,0.149615612063868,0.209302325581395,0.2109375
"Norway","80+",NA,0.0804257835600237,0.0872093023255814,0.50390625
"Poland","0-19",NA,NA,NA,0.00058343057176196
"Poland","20-29",NA,NA,NA,0.00175029171528588
"Poland","30-39",NA,NA,NA,0.00704284047341224
"Poland","40-49",NA,NA,NA,0.0205450908484747
"Poland","50-59",NA,NA,NA,0.0508001333555593
"Poland","60-69",NA,NA,NA,0.208159693282214
"Poland","70-79",NA,NA,NA,0.31242707117853
"Poland","80+",NA,NA,NA,0.398691448574762
"Portugal","0-19",NA,NA,NA,0.00010136847440446
"Portugal","20-29",NA,NA,NA,0.000608210846426761
"Portugal","30-39",NA,NA,NA,0.00283831728332489
"Portugal","40-49",NA,NA,NA,0.0094272681196148
"Portugal","50-59",NA,NA,NA,0.0277749619868221
"Portugal","60-69",NA,NA,NA,0.0943740496705525
"Portugal","70-79",NA,NA,NA,0.218246325392803
"Portugal","80+",NA,NA,NA,0.646629498226052
"Slovakia","0-19",NA,0.0136801973536667,0.00390218522372529,NA
"Slovakia","20-29",NA,0.0188383045525903,0.0137877211238293,NA
"Slovakia","30-39",NA,0.0410779696493982,0.036420395421436,NA
"Slovakia","40-49",NA,0.08694027061374,0.0975546305931322,NA
"Slovakia","50-59",NA,0.156499962622412,0.212278876170656,NA
"Slovakia","60-69",NA,0.266128429393736,0.387877211238293,NA
"Slovakia","70-79",NA,0.247551767959931,0.206035379812695,NA
"Slovakia","80+",NA,0.169283097854526,0.0421436004162331,NA
"Slovenia","0-19",NA,NA,NA,0
"Slovenia","20-29",NA,NA,NA,0.00148478099480327
"Slovenia","30-39",NA,NA,NA,0.00148478099480327
"Slovenia","40-49",NA,NA,NA,0.00742390497401633
"Slovenia","50-59",NA,NA,NA,0.0326651818856719
"Slovenia","60-69",NA,NA,NA,0.103934669636229
"Slovenia","70-79",NA,NA,NA,0.242019302152932
"Slovenia","80+",NA,NA,NA,0.610987379361544
"Spain","0-19",NA,0.0124959742351047,0.00926923906014227,0.000311348658606196
"Spain","20-29",NA,0.0203650026838433,0.0135805130416038,0.00098593741891962
"Spain","30-39",NA,0.0429844337090714,0.0363224832938133,0.00233511493954647
"Spain","40-49",NA,0.0930005367686527,0.0923690450528131,0.00871776244097348
"Spain","50-59",NA,0.152463768115942,0.202845440827765,0.0364796845000259
"Spain","60-69",NA,0.19044551798175,0.323453330459151,0.0984899590057599
"Spain","70-79",NA,0.207181964573269,0.276676007760293,0.220279175963884
"Spain","80+",NA,0.281062801932367,0.0454839405044191,0.632401017072285
