"country","age_group","population"
"Slovenia","40-49",305326
"Slovenia","50-59",301202
"Slovenia","60-69",284941
"Slovenia","70-79",177495
"Slovenia","80+",114278
"Spain","0-19",8970564
"Spain","20-29",4617599
"Spain","30-39",5901993
"Spain","40-49",7938499
"Spain","50-59",7046327
"Spain","60-69",5340654
"Spain","70-79",4015306
"Spain","80+",2923841
"Sweden","0-19",2321078
"Sweden","20-29",1276930
"Sweden","30-39",1320299
"Sweden","40-49",1264123
"Sweden","50-59",1296647
"Sweden","60-69",1093868
"Sweden","70-79",994244
"Sweden","80+",532081
"Switzerland","0-19",1719812
"Switzerland","20-29",1039729
"Switzerland","30-39",1219224
"Switzerland","40-49",1166588
"Switzerland","50-59",1320622
"Switzerland","60-69",977435
"Switzerland","70-79",751993
"Switzerland","80+",459215
