"YearWeekISO","ReportingCountry","FirstDose","SecondDose","DoseAdditional1","TargetGroup","Vaccine","Region"
"2021-W01","AT",0,0,0,"Age10_14","NVXD","AT"
"2021-W01","AT",0,0,0,"Age15_17","MOD","AT"
"2021-W01","AT",0,0,0,"Age15_17","JANSS","AT"
"2021-W01","AT",0,0,0,"Age15_17","UNK","AT"
"2021-W01","AT",0,0,0,"Age15_17","AZ","AT"
"2021-W01","AT",0,0,0,"Age15_17","NVXD","AT"
"2021-W01","AT",23,0,0,"Age15_17","COM","AT"
"2021-W01","AT",0,0,0,"Age18_24","AZ","AT"
"2021-W01","AT",0,0,0,"Age18_24","MOD","AT"
"2021-W01","AT",0,0,0,"Age18_24","UNK","AT"
"2021-W01","AT",0,0,0,"Age18_24","JANSS","AT"
"2021-W01","AT",0,0,0,"Age18_24","NVXD","AT"
"2021-W01","AT",793,0,0,"Age18_24","COM","AT"
"2021-W01","AT",0,0,0,"Age25_49","AZ","AT"
"2021-W01","AT",0,0,0,"Age25_49","MOD","AT"
"2021-W01","AT",0,0,0,"Age25_49","NVXD","AT"
"2021-W01","AT",10468,0,0,"Age25_49","COM","AT"
"2021-W01","AT",0,0,0,"Age25_49","JANSS","AT"
"2021-W01","AT",0,0,0,"Age25_49","UNK","AT"
"2021-W01","AT",0,0,0,"Age50_59","JANSS","AT"
"2021-W01","AT",0,0,0,"Age50_59","NVXD","AT"
"2021-W01","AT",6560,0,0,"Age50_59","COM","AT"
"2021-W01","AT",0,0,0,"Age50_59","MOD","AT"
"2021-W01","AT",0,0,0,"Age50_59","AZ","AT"
"2021-W01","AT",0,0,0,"Age50_59","UNK","AT"
"2021-W01","AT",0,0,0,"Age5_9","NVXD","AT"
"2021-W01","AT",0,0,0,"Age5_9","AZ","AT"
"2021-W01","AT",0,0,0,"Age5_9","MOD","AT"
"2021-W01","AT",1,0,0,"Age5_9","COM","AT"
"2021-W01","AT",0,0,0,"Age5_9","JANSS","AT"
"2021-W01","AT",0,0,0,"Age5_9","UNK","AT"
"2021-W01","AT",0,0,0,"Age60_69","AZ","AT"
"2021-W01","AT",0,0,0,"Age60_69","MOD","AT"
"2021-W01","AT",2,0,0,"Age60_69","UNK","AT"
"2021-W01","AT",1,0,0,"Age60_69","JANSS","AT"
"2021-W01","AT",2738,0,0,"Age60_69","COM","AT"
"2021-W01","AT",0,0,0,"Age60_69","NVXD","AT"
"2021-W01","AT",1536,0,0,"Age70_79","COM","AT"
"2021-W01","AT",0,0,0,"Age70_79","UNK","AT"
"2021-W01","AT",0,0,0,"Age70_79","AZ","AT"
"2021-W01","AT",0,0,0,"Age70_79","NVXD","AT"
"2021-W01","AT",0,0,0,"Age70_79","JANSS","AT"
"2021-W01","AT",0,0,0,"Age70_79","MOD","AT"
"2021-W01","AT",4216,0,0,"Age80+","COM","AT"
"2021-W01","AT",0,0,0,"Age80+","MOD","AT"
"2021-W01","AT",0,0,0,"Age80+","UNK","AT"
"2021-W01","AT",0,0,0,"Age80+","AZ","AT"
"2021-W01","AT",0,0,0,"Age80+","JANSS","AT"
"2021-W01","AT",0,0,0,"Age80+","NVXD","AT"
"2021-W01","AT",0,0,0,"Age<18","MOD","AT"
"2021-W01","AT",24,0,0,"Age<18","COM","AT"
"2021-W01","AT",0,0,0,"Age<18","JANSS","AT"
"2021-W01","AT",0,0,0,"Age<18","UNK","AT"
"2021-W01","AT",0,0,0,"Age<18","NVXD","AT"
"2021-W01","AT",0,0,0,"Age<18","AZ","AT"
"2021-W02","AT",85046,402,1,"ALL","COM","AT"
"2021-W02","AT",0,0,0,"ALL","JANSS","AT"
"2021-W02","AT",99,0,0,"ALL","MOD","AT"
"2021-W02","AT",0,0,0,"ALL","NVXD","AT"
"2021-W02","AT",0,0,0,"ALL","AZ","AT"
"2021-W02","AT",17,1,0,"ALL","UNK","AT"
"2021-W02","AT",0,0,0,"Age0_4","JANSS","AT"
"2021-W02","AT",0,0,0,"Age0_4","COM","AT"
"2021-W02","AT",0,0,0,"Age0_4","AZ","AT"
"2021-W02","AT",0,0,0,"Age0_4","UNK","AT"
"2021-W02","AT",0,0,0,"Age0_4","NVXD","AT"
"2021-W02","AT",0,0,0,"Age0_4","MOD","AT"
"2021-W02","AT",0,0,0,"Age10_14","AZ","AT"
"2021-W02","AT",0,0,0,"Age10_14","JANSS","AT"
"2021-W02","AT",0,0,0,"Age10_14","NVXD","AT"
"2021-W02","AT",0,0,0,"Age10_14","MOD","AT"
"2021-W02","AT",8,0,0,"Age10_14","COM","AT"
"2021-W02","AT",0,0,0,"Age10_14","UNK","AT"
"2021-W02","AT",0,0,0,"Age15_17","MOD","AT"
"2021-W02","AT",0,0,0,"Age15_17","AZ","AT"
"2021-W02","AT",0,0,0,"Age15_17","NVXD","AT"
"2021-W02","AT",0,0,0,"Age15_17","JANSS","AT"
"2021-W02","AT",65,1,0,"Age15_17","COM","AT"
"2021-W02","AT",0,0,0,"Age15_17","UNK","AT"
"2021-W02","AT",1,0,0,"Age18_24","MOD","AT"
"2021-W02","AT",0,0,0,"Age18_24","AZ","AT"
"2021-W02","AT",0,0,0,"Age18_24","NVXD","AT"
"2021-W02","AT",0,0,0,"Age18_24","JANSS","AT"
"2021-W02","AT",2250,9,0,"Age18_24","COM","AT"
"2021-W02","AT",0,0,0,"Age18_24","UNK","AT"
"2021-W02","AT",4,0,0,"Age25_49","UNK","AT"
"2021-W02","AT",0,0,0,"Age25_49","JANSS","AT"
"2021-W02","AT",0,0,0,"Age25_49","AZ","AT"
"2021-W02","AT",0,0,0,"Age25_49","NVXD","AT"
"2021-W02","AT",24142,98,0,"Age25_49","COM","AT"
"2021-W02","AT",8,0,0,"Age25_49","MOD","AT"
"2021-W02","AT",9,0,0,"Age50_59","MOD","AT"
"2021-W02","AT",17854,109,0,"Age50_59","COM","AT"
"2021-W02","AT",1,0,0,"Age50_59","UNK","AT"
"2021-W02","AT",0,0,0,"Age50_59","JANSS","AT"
"2021-W02","AT",0,0,0,"Age50_59","NVXD","AT"
"2021-W02","AT",0,0,0,"Age50_59","AZ","AT"
"2021-W02","AT",0,0,0,"Age5_9","MOD","AT"
"2021-W02","AT",1,0,0,"Age5_9","COM","AT"
"2021-W02","AT",0,0,0,"Age5_9","NVXD","AT"
"2021-W02","AT",0,0,0,"Age5_9","AZ","AT"
"2021-W02","AT",0,0,0,"Age5_9","UNK","AT"
"2021-W02","AT",0,0,0,"Age5_9","JANSS","AT"
"2021-W02","AT",0,0,0,"Age60_69","JANSS","AT"
"2021-W02","AT",0,0,0,"Age60_69","AZ","AT"
"2021-W02","AT",0,0,0,"Age60_69","NVXD","AT"
"2021-W02","AT",9961,49,0,"Age60_69","COM","AT"
"2021-W02","AT",8,0,0,"Age60_69","MOD","AT"
"2021-W02","AT",0,1,0,"Age60_69","UNK","AT"
"2021-W02","AT",0,0,0,"Age70_79","NVXD","AT"
"2021-W02","AT",0,0,0,"Age70_79","JANSS","AT"
"2021-W02","AT",7905,49,0,"Age70_79","COM","AT"
"2021-W02","AT",7,0,0,"Age70_79","MOD","AT"
"2021-W02","AT",2,0,0,"Age70_79","UNK","AT"
"2021-W02","AT",0,0,0,"Age70_79","AZ","AT"
"2021-W02","AT",0,0,0,"Age80+","AZ","AT"
"2021-W02","AT",0,0,0,"Age80+","NVXD","AT"
"2021-W02","AT",66,0,0,"Age80+","MOD","AT"
"2021-W02","AT",0,0,0,"Age80+","JANSS","AT"
"2021-W02","AT",10,0,0,"Age80+","UNK","AT"
"2021-W02","AT",22934,88,1,"Age80+","COM","AT"
"2021-W02","AT",0,0,0,"Age<18","MOD","AT"
"2021-W02","AT",0,0,0,"Age<18","UNK","AT"
"2021-W02","AT",0,0,0,"Age<18","AZ","AT"
"2021-W02","AT",74,1,0,"Age<18","COM","AT"
"2021-W02","AT",0,0,0,"Age<18","JANSS","AT"
"2021-W02","AT",0,0,0,"Age<18","NVXD","AT"
"2021-W03","AT",0,0,0,"ALL","JANSS","AT"
"2021-W03","AT",93177,4624,3,"ALL","COM","AT"
"2021-W03","AT",0,0,0,"ALL","AZ","AT"
"2021-W03","AT",102,0,0,"ALL","UNK","AT"
"2021-W03","AT",0,0,0,"ALL","NVXD","AT"
"2021-W03","AT",245,0,0,"ALL","MOD","AT"
"2021-W03","AT",0,0,0,"Age0_4","JANSS","AT"
"2021-W03","AT",0,0,0,"Age0_4","MOD","AT"
"2021-W03","AT",0,0,0,"Age0_4","NVXD","AT"
"2021-W03","AT",0,1,0,"Age0_4","COM","AT"
"2021-W03","AT",0,0,0,"Age0_4","UNK","AT"
"2021-W03","AT",0,0,0,"Age0_4","AZ","AT"
"2021-W03","AT",2,0,0,"Age10_14","COM","AT"
"2021-W03","AT",0,0,0,"Age10_14","MOD","AT"
"2021-W03","AT",0,0,0,"Age10_14","AZ","AT"
"2021-W03","AT",0,0,0,"Age10_14","NVXD","AT"
"2021-W03","AT",0,0,0,"Age10_14","UNK","AT"
"2021-W03","AT",0,0,0,"Age10_14","JANSS","AT"
"2021-W03","AT",0,0,0,"Age15_17","JANSS","AT"
"2021-W03","AT",0,0,0,"Age15_17","NVXD","AT"
"2021-W03","AT",35,3,0,"Age15_17","COM","AT"
"2021-W03","AT",0,0,0,"Age15_17","UNK","AT"
"2021-W03","AT",0,0,0,"Age15_17","AZ","AT"
"2021-W03","AT",0,0,0,"Age15_17","MOD","AT"
"2021-W03","AT",0,0,0,"Age18_24","NVXD","AT"
"2021-W03","AT",22,0,0,"Age18_24","MOD","AT"
"2021-W03","AT",0,0,0,"Age18_24","JANSS","AT"
"2021-W03","AT",0,0,0,"Age18_24","AZ","AT"
"2021-W03","AT",2951,77,0,"Age18_24","COM","AT"
"2021-W03","AT",1,0,0,"Age18_24","UNK","AT"
"2021-W03","AT",5,0,0,"Age25_49","UNK","AT"
"2021-W03","AT",122,0,0,"Age25_49","MOD","AT"
"2021-W03","AT",0,0,0,"Age25_49","JANSS","AT"
"2021-W03","AT",29585,1188,1,"Age25_49","COM","AT"
"2021-W03","AT",0,0,0,"Age25_49","AZ","AT"
"2021-W03","AT",0,0,0,"Age25_49","NVXD","AT"
"2021-W03","AT",0,0,0,"Age50_59","JANSS","AT"
"2021-W03","AT",0,0,0,"Age50_59","AZ","AT"
"2021-W03","AT",18694,910,0,"Age50_59","COM","AT"
"2021-W03","AT",61,0,0,"Age50_59","MOD","AT"
"2021-W03","AT",0,0,0,"Age50_59","NVXD","AT"
"2021-W03","AT",4,0,0,"Age50_59","UNK","AT"
