imputation_id;vaccine;sex;age_group;cov;var;imputation_method
2;Spikevax;M;18-24;3020653;2046853.739;multiple imputation
2;Spikevax;M;25-29;2343510;2201987.133;multiple imputation
2;Spikevax;M;30-39;5077728;4335501.576;multiple imputation
2;Spikevax;M;40-49;5221894;4447373.954;multiple imputation
2;Spikevax;M;5-11;9330;9521.972814;multiple imputation
2;Spikevax;M;50-59;5662000;3750934.594;multiple imputation
2;Spikevax;M;60-69;3139669;2139118.802;multiple imputation
2;Spikevax;M;70-79;2641911;1867723.843;multiple imputation
2;Spikevax;M;80+;1461334;1079218.674;multiple imputation
2;Vaxzevria;F;10-19;260066;230416.4239;multiple imputation
2;Vaxzevria;F;20-29;1806948;1553300.717;multiple imputation
2;Vaxzevria;F;30-39;2571567;2187049.58;multiple imputation
2;Vaxzevria;F;40-49;3948990;3068061.243;multiple imputation
2;Vaxzevria;F;50-59;4691031;3016833.912;multiple imputation
2;Vaxzevria;F;60-69;13320601;8095964.902;multiple imputation
2;Vaxzevria;F;70-79;5312991;3337272.474;multiple imputation
2;Vaxzevria;F;80+;1030866;675283.6308;multiple imputation
2;Vaxzevria;M;10-19;149075;135249.7575;multiple imputation
2;Vaxzevria;M;20-29;1057189;955889.955;multiple imputation
2;Vaxzevria;M;30-39;2091636;1828730.119;multiple imputation
2;Vaxzevria;M;40-49;3015099;2502706.694;multiple imputation
2;Vaxzevria;M;50-59;4369935;2955935.459;multiple imputation
2;Vaxzevria;M;60-69;13298616;8047057.14;multiple imputation
2;Vaxzevria;M;70-79;4974937;3171722.2;multiple imputation
2;Vaxzevria;M;80+;699300;510230.9456;multiple imputation
3;Comirnaty;F;12-17;13931096;7068255.721;multiple imputation
3;Comirnaty;F;18-24;17304462;11939125.18;multiple imputation
3;Comirnaty;F;25-29;12016984;11233493.81;multiple imputation
3;Comirnaty;F;30-39;30472591;25890118.21;multiple imputation
3;Comirnaty;F;40-49;35633989;29344582.09;multiple imputation
3;Comirnaty;F;5-11;136537;136663.7828;multiple imputation
3;Comirnaty;F;50-59;37638505;24770090.23;multiple imputation
3;Comirnaty;F;60-69;27252551;17965343.37;multiple imputation
3;Comirnaty;F;70-79;27588073;17967937.8;multiple imputation
3;Comirnaty;F;80+;23157767;13755770.72;multiple imputation
3;Comirnaty;M;12-17;14138469;7069285.662;multiple imputation
3;Comirnaty;M;18-24;16279429;11439991.2;multiple imputation
3;Comirnaty;M;25-29;12509011;11676482.75;multiple imputation
3;Comirnaty;M;30-39;29217696;24958097.49;multiple imputation
3;Comirnaty;M;40-49;35126993;28955359.14;multiple imputation
3;Comirnaty;M;5-11;86518;86656.07595;multiple imputation
3;Comirnaty;M;50-59;36179390;24152352.2;multiple imputation
3;Comirnaty;M;60-69;23209043;15896428.46;multiple imputation
3;Comirnaty;M;70-79;24231233;17126728.69;multiple imputation
3;Comirnaty;M;80+;14949329;11239794.82;multiple imputation
3;Spikevax;F;12-17;922568;478211.9094;multiple imputation
3;Spikevax;F;18-24;3112424;2048465.843;multiple imputation
3;Spikevax;F;25-29;2412111;2221687.518;multiple imputation
3;Spikevax;F;30-39;5166717;4270430.175;multiple imputation
3;Spikevax;F;40-49;5241666;4399538.524;multiple imputation
3;Spikevax;F;5-11;3524;3602.332715;multiple imputation
3;Spikevax;F;50-59;5612993;3714719.85;multiple imputation
3;Spikevax;F;60-69;3344207;2126078.85;multiple imputation
3;Spikevax;F;70-79;3029956;1920038.731;multiple imputation
3;Spikevax;F;80+;2227653;1265825.539;multiple imputation
3;Spikevax;M;12-17;985870;479903.2238;multiple imputation
3;Spikevax;M;18-24;3001277;1995749.419;multiple imputation
3;Spikevax;M;25-29;2499458;2311958.616;multiple imputation
3;Spikevax;M;30-39;5310760;4434102.057;multiple imputation
3;Spikevax;M;40-49;5165130;4331384.094;multiple imputation
3;Spikevax;M;5-11;10231;10131.71703;multiple imputation
3;Spikevax;M;50-59;5560207;3612938.734;multiple imputation
3;Spikevax;M;60-69;3266394;2222319.447;multiple imputation
3;Spikevax;M;70-79;2705368;1896182.823;multiple imputation
3;Spikevax;M;80+;1409373;1016893.458;multiple imputation
3;Vaxzevria;F;10-19;235583;208630.4686;multiple imputation
3;Vaxzevria;F;20-29;1684701;1451752.238;multiple imputation
3;Vaxzevria;F;30-39;2502647;2156914.003;multiple imputation
3;Vaxzevria;F;40-49;3986651;3157726.126;multiple imputation
3;Vaxzevria;F;50-59;4609610;2939286.433;multiple imputation
3;Vaxzevria;F;60-69;13155047;8001760.245;multiple imputation
3;Vaxzevria;F;70-79;5163969;3208751.544;multiple imputation
3;Vaxzevria;F;80+;1110447;751979.2101;multiple imputation
3;Vaxzevria;M;10-19;119810;104444.5576;multiple imputation
3;Vaxzevria;M;20-29;986064;894472.5734;multiple imputation
3;Vaxzevria;M;30-39;2379790;2102372.443;multiple imputation
3;Vaxzevria;M;40-49;2937228;2459957.351;multiple imputation
3;Vaxzevria;M;50-59;4443816;3014034.43;multiple imputation
3;Vaxzevria;M;60-69;13357535;8069096.714;multiple imputation
3;Vaxzevria;M;70-79;5078873;3257380.965;multiple imputation
3;Vaxzevria;M;80+;847061;656915.3387;multiple imputation
4;Comirnaty;F;12-17;13689372;7061113.791;multiple imputation
4;Comirnaty;F;18-24;17258822;11847259.43;multiple imputation
4;Comirnaty;F;25-29;12564994;11661938.29;multiple imputation
4;Comirnaty;F;30-39;29731425;25180681.42;multiple imputation
4;Comirnaty;F;40-49;36947418;30177043.03;multiple imputation
4;Comirnaty;F;5-11;99198;97963.84175;multiple imputation
4;Comirnaty;F;50-59;37902806;24891841.94;multiple imputation
4;Comirnaty;F;60-69;26660080;17387651.38;multiple imputation
4;Comirnaty;F;70-79;27481399;17813471.1;multiple imputation
4;Comirnaty;F;80+;23980340;14411476.24;multiple imputation
4;Comirnaty;M;12-17;14449259;7069675.653;multiple imputation
4;Comirnaty;M;18-24;15965465;11113208.47;multiple imputation
4;Comirnaty;M;25-29;12093238;11261597.39;multiple imputation
4;Comirnaty;M;30-39;29386677;25015084.55;multiple imputation
4;Comirnaty;M;40-49;34734937;28579049.66;multiple imputation
4;Comirnaty;M;5-11;55640;55430.92873;multiple imputation
4;Comirnaty;M;50-59;36476120;24314674.02;multiple imputation
4;Comirnaty;M;60-69;23398587;15999072.01;multiple imputation
4;Comirnaty;M;70-79;23229355;16193762.95;multiple imputation
4;Comirnaty;M;80+;14955383;11199530.12;multiple imputation
4;Spikevax;F;12-17;947861;478038.6147;multiple imputation
4;Spikevax;F;18-24;3076000;2011497.86;multiple imputation
4;Spikevax;F;25-29;2352945;2179138.5;multiple imputation
4;Spikevax;F;30-39;5278990;4391396.104;multiple imputation
